,SoC,Exp,Incremental cost,SoC,Exp,Incremental effect,,ICER
30,19764.42702,42377.67942,22613.2524,0.303898186,0.566974962,0.263076776,,85956.85541
31,20562.34007,44433.88751,23871.54744,0.280112199,0.594116281,0.314004082,,76023.04819
32,22460.77554,46666.76329,24205.98775,0.322464164,0.587680853,0.265216689,,91268.72017
33,22995.76021,48652.25402,25656.49381,0.310149909,0.755772886,0.445622978,,57574.44091
34,18215.95246,42287.81854,24071.86608,0.336324416,0.676138583,0.339814167,,70838.32411
35,19138.40994,40759.57821,21621.16827,0.383125578,0.637266687,0.254141109,,85075.4463
36,22779.43814,49030.03224,26250.5941,0.40435368,0.691840568,0.287486889,,91310.57842
37,23065.04964,48292.52597,25227.47633,0.348393432,0.663198026,0.314804594,,80136.93833
38,20024.73952,39858.58575,19833.84623,0.268064845,0.498004884,0.229940039,,86256.60117
39,20696.24673,43550.9168,22854.67007,0.367629208,0.603632283,0.236003075,,96840.5605
40,20062.01951,41016.27462,20954.25511,0.40319016,0.645139928,0.241949768,,86605.80764
41,19886.11691,43912.8387,24026.7218,0.305758817,0.769455503,0.463696686,,51815.59957
42,21242.48404,49172.68539,27930.20135,0.306553273,0.6726805,0.366127226,,76285.50774
43,22336.40177,45253.56303,22917.16126,0.342146907,0.699427109,0.357280202,,64143.38429
44,17881.34369,41929.38435,24048.04066,0.301635734,0.556792337,0.255156603,,94248.16112
45,21289.35977,37724.90106,16435.54129,0.354038225,0.629239009,0.275200784,,59722.00028
46,20138.5143,46783.31812,26644.80382,0.301101817,0.604298694,0.303196877,,87879.54562
47,25155.70872,50127.24427,24971.53555,0.308031527,0.6326619,0.324630373,,76922.97955
48,20385.81025,40599.75187,20213.94162,0.343860457,0.636236741,0.292376284,,69136.73481
49,23689.28346,39947.50748,16258.22403,0.354735129,0.645697377,0.290962248,,55877.4347
50,21033.54643,53626.93555,32593.38912,0.396326332,0.774931021,0.378604689,,86088.18143
51,23491.85833,45355.70067,21863.84234,0.34060145,0.708072379,0.367470929,,59498.15513
52,21194.98233,47778.85582,26583.87348,0.329582126,0.70324904,0.373666914,,71143.23612
53,20659.67066,44891.16776,24231.4971,0.383567718,0.586613221,0.203045503,,119340.2301
54,21783.29009,41333.68491,19550.39482,0.408550001,0.637518772,0.228968771,,85384.54715
55,18086.3833,48164.06797,30077.68467,0.326246647,0.620850863,0.294604216,,102095.2283
56,21878.48504,44672.14447,22793.65943,0.33965896,0.671498147,0.331839186,,68688.87209
57,22032.4127,45326.74281,23294.33011,0.335852731,0.61724157,0.281388838,,82783.41898
58,20304.09661,41786.68492,21482.58831,0.283028623,0.513243029,0.230214406,,93315.56919
59,20380.15293,42438.25264,22058.09972,0.361167665,0.732366075,0.371198409,,59424.01469
60,22739.90939,41475.58965,18735.68026,0.299369029,0.527650353,0.228281325,,82072.76827
61,22836.17393,59351.17361,36514.99968,0.339612058,0.748856235,0.409244178,,89225.45919
62,24777.3453,52187.5628,27410.2175,0.356209248,0.761524553,0.405315305,,67626.89981
63,20486.92503,39525.40034,19038.47532,0.338147656,0.607563296,0.269415639,,70665.81347
64,20539.79502,47837.50753,27297.71251,0.407880145,0.755113924,0.347233779,,78614.79541
65,22933.7449,48677.50522,25743.76032,0.281559607,0.581225609,0.299666002,,85908.1783
66,20506.63547,45395.78545,24889.14999,0.331706453,0.618348736,0.286642283,,86830.00196
67,23085.23764,43076.67063,19991.43299,0.302567153,0.630131989,0.327564836,,61030.4611
68,20129.81991,41711.72988,21581.90997,0.331046178,0.623099784,0.292053606,,73897.08439
69,21977.68862,44390.75471,22413.06609,0.36140587,0.694384993,0.332979123,,67310.72475
70,20364.02225,46198.80195,25834.7797,0.344210967,0.697589459,0.353378492,,73107.95728
