"","SoC","Exp"
"221",18593.5251949522,43216.2552143048
"222",16979.4225792628,50994.2469161139
"223",16342.9094095518,49273.3921779771
"224",15749.5175647894,52497.2308354441
"225",17304.5579253884,55450.8649505608
"226",18740.6657349605,58514.4570455865
"227",18859.9032773691,57278.0674824356
"228",18337.3255886868,46079.448890868
"229",18221.4464955939,52899.2665701256
"230",18095.7042514446,52459.3357214369
"231",18550.7299663553,42259.7183873911
"232",18527.8331423635,51097.0111876097
"233",17144.8508485867,48692.3117584449
"234",17049.4028228969,56199.2072339606
"235",18837.7315618324,54210.6867014172
"236",16591.675662037,50606.0976752896
"237",16148.8006162859,49255.6966491391
"238",18379.4118758293,55911.3986782739
"239",16776.213547701,53883.5848415544
"240",17418.851412647,53440.7284170092
"241",17022.2400545746,52766.4799845681
"242",18343.8549443708,53956.02095318
"243",17391.455873314,49610.349761879
"244",18750.4951167947,51354.7274514092
"245",17341.863125574,42342.1978344191
"246",16608.5471276354,48539.7710095618
"247",18926.745827267,49873.5274629394
"248",16532.1257300516,44483.8794018846
"249",19762.3587918991,52968.1745887045
"250",20795.6210967894,52384.2519017742
"251",16171.5772624758,55957.6059222245
"252",19140.2603498123,51652.3782590362
"253",18969.5182255119,60757.0848789662
"254",17564.4294339683,42275.7088669375
"255",19132.1063025294,54775.5490250139
"256",19145.4145455477,52867.0344784606
"257",15981.8112422728,39466.6805429947
"258",17022.0533395343,49645.3567020441
"259",19585.169079701,56497.5332795624
"260",16399.9639411225,53135.9864395873
"261",18314.2548811017,49947.2103715272
"262",18817.3486499098,59734.2760847108
"263",18712.1212671751,42051.1475842812
"264",17106.1720402818,53361.2316931899
"265",16635.6476768604,63352.9643012135
"266",17636.1922747337,48423.2733790047
"267",18477.608824963,52366.0499050318
"268",17698.0184919443,51486.1623775419
"269",17347.2832158849,43596.6265479302
"270",19732.7495963775,46192.0600328548
"271",15013.9215838997,48705.2246045501
"272",15824.7148369617,46158.320759088
"273",15853.2638897461,43725.3905494158
"274",15896.6528414667,49418.095113371
