"","parameter","strategy","param_val","outcome_val"
"137","HR_FP_Exp","Experimental.Treatment",0.653636363636364,127170.91218631
"138","HR_FP_Exp","Experimental.Treatment",0.657070707070707,126976.461692971
"139","HR_FP_Exp","Experimental.Treatment",0.66050505050505,126781.669933498
"140","HR_FP_Exp","Experimental.Treatment",0.663939393939394,126586.534825435
"141","HR_FP_Exp","Experimental.Treatment",0.667373737373737,126391.054285856
"142","HR_FP_Exp","Experimental.Treatment",0.670808080808081,126195.226231223
"143","HR_FP_Exp","Experimental.Treatment",0.674242424242424,125999.048577229
"144","HR_FP_Exp","Experimental.Treatment",0.677676767676768,125802.519238659
"145","HR_FP_Exp","Experimental.Treatment",0.681111111111111,125605.636129235
"146","HR_FP_Exp","Experimental.Treatment",0.684545454545455,125408.397161482
"147","HR_FP_Exp","Experimental.Treatment",0.687979797979798,125210.800246579
"148","HR_FP_Exp","Experimental.Treatment",0.691414141414141,125012.84329422
"149","HR_FP_Exp","Experimental.Treatment",0.694848484848485,124814.524212477
"150","HR_FP_Exp","Experimental.Treatment",0.698282828282828,124615.84090766
"151","HR_FP_Exp","Experimental.Treatment",0.701717171717172,124416.79128418
"152","HR_FP_Exp","Experimental.Treatment",0.705151515151515,124217.373244417
"153","HR_FP_Exp","Experimental.Treatment",0.708585858585859,124017.584688586
"154","HR_FP_Exp","Experimental.Treatment",0.712020202020202,123817.4235146
"155","HR_FP_Exp","Experimental.Treatment",0.715454545454545,123616.887617946
"156","HR_FP_Exp","Experimental.Treatment",0.718888888888889,123415.974891549
"157","HR_FP_Exp","Experimental.Treatment",0.722323232323232,123214.68322565
"158","HR_FP_Exp","Experimental.Treatment",0.725757575757576,123013.010507669
"159","HR_FP_Exp","Experimental.Treatment",0.729191919191919,122810.954622091
"160","HR_FP_Exp","Experimental.Treatment",0.732626262626263,122608.513450328
"161","HR_FP_Exp","Experimental.Treatment",0.736060606060606,122405.684870604
"162","HR_FP_Exp","Experimental.Treatment",0.739494949494949,122202.46675783
"163","HR_FP_Exp","Experimental.Treatment",0.742929292929293,121998.856983474
"164","HR_FP_Exp","Experimental.Treatment",0.746363636363636,121794.853415452
"165","HR_FP_Exp","Experimental.Treatment",0.74979797979798,121590.453918
"166","HR_FP_Exp","Experimental.Treatment",0.753232323232323,121385.656351554
"167","HR_FP_Exp","Experimental.Treatment",0.756666666666667,121180.458572633
"168","HR_FP_Exp","Experimental.Treatment",0.76010101010101,120974.858433724
"169","HR_FP_Exp","Experimental.Treatment",0.763535353535354,120768.85378316
"170","HR_FP_Exp","Experimental.Treatment",0.766969696969697,120562.442465005
"171","HR_FP_Exp","Experimental.Treatment",0.77040404040404,120355.62231894
"172","HR_FP_Exp","Experimental.Treatment",0.773838383838384,120148.391180146
"173","HR_FP_Exp","Experimental.Treatment",0.777272727272727,119940.746879193
"174","HR_FP_Exp","Experimental.Treatment",0.780707070707071,119732.687241921
"175","HR_FP_Exp","Experimental.Treatment",0.784141414141414,119524.210089332
"176","HR_FP_Exp","Experimental.Treatment",0.787575757575758,119315.313237476
"177","HR_FP_Exp","Experimental.Treatment",0.791010101010101,119105.994497337
"178","HR_FP_Exp","Experimental.Treatment",0.794444444444445,118896.251674724
"179","HR_FP_Exp","Experimental.Treatment",0.797878787878788,118686.082570161
"180","HR_FP_Exp","Experimental.Treatment",0.801313131313131,118475.484978774
"181","HR_FP_Exp","Experimental.Treatment",0.804747474747475,118264.456690183
"182","HR_FP_Exp","Experimental.Treatment",0.808181818181818,118052.995488391
"183","HR_FP_Exp","Experimental.Treatment",0.811616161616162,117841.099151679
"184","HR_FP_Exp","Experimental.Treatment",0.815050505050505,117628.765452492
"185","HR_FP_Exp","Experimental.Treatment",0.818484848484848,117415.992157336
"186","HR_FP_Exp","Experimental.Treatment",0.821919191919192,117202.777026665
"187","HR_FP_Exp","Experimental.Treatment",0.825353535353535,116989.117814778
"188","HR_FP_Exp","Experimental.Treatment",0.828787878787879,116775.01226971
"189","HR_FP_Exp","Experimental.Treatment",0.832222222222222,116560.458133126
